Datum;Gästnätter i snitt per dag
2023-03-08;32 887
2023-03-09;30 011
2023-03-10;40 974
2023-03-11;48 330
2023-03-12;20 568
2023-03-13;29 708
2023-03-14;35 349
2023-03-15;36 854
2023-03-16;32 765
2023-03-17;38 081
2023-03-18;42 588
2023-03-19;22 255
2023-03-20;28 125
2023-03-21;33 951
2023-03-22;34 145
2023-03-23;31 881
2023-03-24;48 243
2023-03-25;49 911
2023-03-26;22 386
2023-03-27;31 276
2023-03-28;35 206
2023-03-29;35 353
2023-03-30;30 349
2023-03-31;37 411
2023-04-01;44 835
2023-04-02;23 174
2023-04-03;26 249
2023-04-04;26 946
2023-04-05;23 311
2023-04-06;30 763
2023-04-07;42 777
2023-04-08;43 435
2023-04-09;31 836
2023-04-10;21 915
2023-04-11;27 097
2023-04-12;30 496
2023-04-13;29 734
2023-04-14;37 223
2023-04-15;43 005
2023-04-16;22 878
2023-04-17;33 747
2023-04-18;40 388
2023-04-19;40 303
2023-04-20;35 644
2023-04-21;43 586
2023-04-22;48 988
2023-04-23;25 407
2023-04-24;35 499
2023-04-25;41 930
2023-04-26;41 222
2023-04-27;36 700
2023-04-28;47 022
2023-04-29;53 516
2023-04-30;35 535
2023-05-01;24 631
2023-05-02;35 841
2023-05-03;42 137
2023-05-04;41 194
2023-05-05;45 215
2023-05-06;50 732
2023-05-07;28 316
2023-05-08;37 907
2023-05-09;44 968
2023-05-10;51 684
2023-05-11;51 727
2023-05-12;47 324
2023-05-13;47 758
2023-05-14;26 024
2023-05-15;33 687
2023-05-16;32 018
2023-05-17;30 377
2023-05-18;43 276
2023-05-19;52 337
2023-05-20;49 819
2023-05-21;27 174
2023-05-22;39 100
2023-05-23;47 967
2023-05-24;45 410
2023-05-25;43 334
2023-05-26;51 215
2023-05-27;57 666
2023-05-28;35 563
2023-05-29;38 420
2023-05-30;42 936
2023-05-31;45 726
2023-06-01;45 405
2023-06-02;53 043
2023-06-03;54 444
2023-06-04;33 138
2023-06-05;32 466
2023-06-06;31 474
2023-06-07;41 370
2023-06-08;42 158
2023-06-09;47 481
2023-06-10;51 134
2023-06-11;34 113
2023-06-12;41 794
2023-06-13;44 496
2023-06-14;45 777
2023-06-15;43 070
2023-06-16;50 728
2023-06-17;58 914
2023-06-18;41 752
2023-06-19;41 986
2023-06-20;43 522
2023-06-21;36 213
2023-06-22;32 924
2023-06-23;39 826
2023-06-24;37 155
2023-06-25;32 741
2023-06-26;39 827
2023-06-27;42 605
2023-06-28;42 484
2023-06-29;44 560
2023-06-30;48 384
2023-07-01;52 287
2023-07-02;36 791
2023-07-03;41 607
2023-07-04;44 621
2023-07-05;43 872
2023-07-06;43 823
2023-07-07;54 789
2023-07-08;57 780
2023-07-09;39 491
2023-07-10;44 745
2023-07-11;47 927
2023-07-12;48 045
2023-07-13;47 474
2023-07-14;49 623
2023-07-15;51 269
2023-07-16;41 568
2023-07-17;47 810
2023-07-18;51 090
2023-07-19;50 847
2023-07-20;50 371
2023-07-21;52 666
2023-07-22;54 618
2023-07-23;42 981
2023-07-24;47 006
2023-07-25;52 008
2023-07-26;53 284
2023-07-27;53 157
2023-07-28;55 279
2023-07-29;54 363
2023-07-30;41 401
2023-07-31;44 688
2023-08-01;46 497
2023-08-02;48 333
2023-08-03;49 916
2023-08-04;54 129
2023-08-05;56 917
2023-08-06;39 198
2023-08-07;42 945
2023-08-08;46 099
2023-08-09;46 018
2023-08-10;45 669
2023-08-11;50 177
2023-08-12;54 308
2023-08-13;39 821
2023-08-14;44 890
2023-08-15;47 269
2023-08-16;47 006
2023-08-17;46 341
2023-08-18;51 160
2023-08-19;55 416
2023-08-20;36 373
2023-08-21;42 743
2023-08-22;47 554
2023-08-23;48 349
2023-08-24;45 530
2023-08-25;51 864
2023-08-26;55 825
2023-08-27;33 917
2023-08-28;42 670
2023-08-29;45 178
2023-08-30;43 870
2023-08-31;42 153
2023-09-01;50 074
2023-09-02;55 172
2023-09-03;30 188
2023-09-04;38 382
2023-09-05;42 554
2023-09-06;43 524
2023-09-07;42 629
2023-09-08;46 942
2023-09-09;50 042
2023-09-10;28 874
2023-09-11;38 691
2023-09-12;45 498
2023-09-13;45 674
2023-09-14;42 090
2023-09-15;44 267
2023-09-16;48 133
2023-09-17;27 373
2023-09-18;36 714
2023-09-19;41 236
2023-09-20;42 093
2023-09-21;38 940
2023-09-22;47 876
2023-09-23;52 177
2023-09-24;26 951
2023-09-25;34 864
2023-09-26;39 766
