"flight_date","total_landings"
"2020-11-19 00:00:00.000 Europe/Stockholm","86"
"2020-11-20 00:00:00.000 Europe/Stockholm","84"
"2020-11-21 00:00:00.000 Europe/Stockholm","46"
"2020-11-22 00:00:00.000 Europe/Stockholm","73"
"2020-11-23 00:00:00.000 Europe/Stockholm","91"
"2020-11-24 00:00:00.000 Europe/Stockholm","64"
"2020-11-25 00:00:00.000 Europe/Stockholm","76"
"2020-11-26 00:00:00.000 Europe/Stockholm","79"
"2020-11-27 00:00:00.000 Europe/Stockholm","89"
"2020-11-28 00:00:00.000 Europe/Stockholm","46"
"2020-11-29 00:00:00.000 Europe/Stockholm","67"
"2020-11-30 00:00:00.000 Europe/Stockholm","62"
"2020-12-01 00:00:00.000 Europe/Stockholm","52"
"2020-12-02 00:00:00.000 Europe/Stockholm","62"
"2020-12-03 00:00:00.000 Europe/Stockholm","69"
"2020-12-04 00:00:00.000 Europe/Stockholm","79"
"2020-12-05 00:00:00.000 Europe/Stockholm","46"
"2020-12-06 00:00:00.000 Europe/Stockholm","72"
"2020-12-07 00:00:00.000 Europe/Stockholm","68"
"2020-12-08 00:00:00.000 Europe/Stockholm","53"
"2020-12-09 00:00:00.000 Europe/Stockholm","64"
"2020-12-10 00:00:00.000 Europe/Stockholm","80"
"2020-12-11 00:00:00.000 Europe/Stockholm","85"
"2020-12-12 00:00:00.000 Europe/Stockholm","47"
"2020-12-13 00:00:00.000 Europe/Stockholm","70"
"2020-12-14 00:00:00.000 Europe/Stockholm","69"
"2020-12-15 00:00:00.000 Europe/Stockholm","61"
"2020-12-16 00:00:00.000 Europe/Stockholm","71"
"2020-12-17 00:00:00.000 Europe/Stockholm","92"
"2020-12-18 00:00:00.000 Europe/Stockholm","106"
"2020-12-19 00:00:00.000 Europe/Stockholm","83"
"2020-12-20 00:00:00.000 Europe/Stockholm","95"
"2020-12-21 00:00:00.000 Europe/Stockholm","103"
"2020-12-22 00:00:00.000 Europe/Stockholm","96"
"2020-12-23 00:00:00.000 Europe/Stockholm","115"
"2020-12-24 00:00:00.000 Europe/Stockholm","33"
"2020-12-25 00:00:00.000 Europe/Stockholm","34"
"2020-12-26 00:00:00.000 Europe/Stockholm","62"
"2020-12-27 00:00:00.000 Europe/Stockholm","95"
"2020-12-28 00:00:00.000 Europe/Stockholm","92"
"2020-12-29 00:00:00.000 Europe/Stockholm","76"
"2020-12-30 00:00:00.000 Europe/Stockholm","91"
"2020-12-31 00:00:00.000 Europe/Stockholm","33"
"2021-01-01 00:00:00.000 Europe/Stockholm","89"
"2021-01-02 00:00:00.000 Europe/Stockholm","142"
"2021-01-03 00:00:00.000 Europe/Stockholm","194"
"2021-01-04 00:00:00.000 Europe/Stockholm","172"
"2021-01-05 00:00:00.000 Europe/Stockholm","136"
"2021-01-06 00:00:00.000 Europe/Stockholm","138"
"2021-01-07 00:00:00.000 Europe/Stockholm","150"
"2021-01-08 00:00:00.000 Europe/Stockholm","160"
"2021-01-09 00:00:00.000 Europe/Stockholm","118"
"2021-01-10 00:00:00.000 Europe/Stockholm","168"
"2021-01-11 00:00:00.000 Europe/Stockholm","148"
"2021-01-12 00:00:00.000 Europe/Stockholm","112"
"2021-01-13 00:00:00.000 Europe/Stockholm","116"
"2021-01-14 00:00:00.000 Europe/Stockholm","134"
"2021-01-15 00:00:00.000 Europe/Stockholm","152"
"2021-01-16 00:00:00.000 Europe/Stockholm","92"
"2021-01-17 00:00:00.000 Europe/Stockholm","146"
"2021-01-18 00:00:00.000 Europe/Stockholm","128"
"2021-01-19 00:00:00.000 Europe/Stockholm","102"
"2021-01-20 00:00:00.000 Europe/Stockholm","102"
"2021-01-21 00:00:00.000 Europe/Stockholm","132"
"2021-01-22 00:00:00.000 Europe/Stockholm","140"
"2021-01-23 00:00:00.000 Europe/Stockholm","132"
"2021-01-24 00:00:00.000 Europe/Stockholm","121"
"2021-01-25 00:00:00.000 Europe/Stockholm","63"
"2021-01-26 00:00:00.000 Europe/Stockholm","168"
"2021-01-27 00:00:00.000 Europe/Stockholm","112"
"2021-01-28 00:00:00.000 Europe/Stockholm","67"
"2021-01-29 00:00:00.000 Europe/Stockholm","73"
"2021-01-30 00:00:00.000 Europe/Stockholm","72"
"2021-01-31 00:00:00.000 Europe/Stockholm","122"
"2021-02-01 00:00:00.000 Europe/Stockholm","118"
"2021-02-02 00:00:00.000 Europe/Stockholm","138"
"2021-02-03 00:00:00.000 Europe/Stockholm","58"
"2021-02-04 00:00:00.000 Europe/Stockholm","132"
"2021-02-05 00:00:00.000 Europe/Stockholm","221"
"2021-02-06 00:00:00.000 Europe/Stockholm","78"
"2021-02-07 00:00:00.000 Europe/Stockholm","58"
"2021-02-08 00:00:00.000 Europe/Stockholm","237"
"2021-02-09 00:00:00.000 Europe/Stockholm","60"
"2021-02-10 00:00:00.000 Europe/Stockholm","49"
"2021-02-11 00:00:00.000 Europe/Stockholm","123"
"2021-02-12 00:00:00.000 Europe/Stockholm","148"
"2021-02-13 00:00:00.000 Europe/Stockholm","100"
"2021-02-14 00:00:00.000 Europe/Stockholm","132"
"2021-02-15 00:00:00.000 Europe/Stockholm","110"
"2021-02-16 00:00:00.000 Europe/Stockholm","116"
